# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.2e-05       	(7.077488e+04 1.762445e+03 -2.374196e+03)	(7.077491e+04 1.762441e+03 -2.374188e+03)	(-2.542468e-02 4.091510e-03 -8.123060e-03)
2.64002e-05   	(1.441543e+03 -5.841688e+01 -6.245771e+01)	(1.441571e+03 -5.842102e+01 -6.244951e+01)	(-2.811569e-02 4.140639e-03 -8.200483e-03)
4.36804e-05   	(7.099829e+02 4.894742e+00 -6.207776e-01)	(7.100137e+02 4.890628e+00 -6.126087e-01)	(-3.082509e-02 4.113460e-03 -8.168962e-03)
6.44165e-05   	(3.765675e+02 2.982131e+00 -1.582226e+00)	(3.765999e+02 2.978042e+00 -1.574100e+00)	(-3.237450e-02 4.088952e-03 -8.125984e-03)
8.92998e-05   	(2.635426e+02 2.653692e+00 -1.965797e+00)	(2.635762e+02 2.649627e+00 -1.957718e+00)	(-3.359022e-02 4.064737e-03 -8.079485e-03)
0.000119159   	(1.916731e+02 2.066881e+00 -1.210096e+00)	(1.917077e+02 2.062841e+00 -1.202070e+00)	(-3.455637e-02 4.039991e-03 -8.025783e-03)
0.000154991   	(1.466258e+02 1.589760e+00 -7.486873e-01)	(1.466611e+02 1.585745e+00 -7.407229e-01)	(-3.536002e-02 4.014828e-03 -7.964378e-03)
0.00019799    	(1.170352e+02 1.280611e+00 -7.797086e-01)	(1.170712e+02 1.276621e+00 -7.718138e-01)	(-3.604595e-02 3.989089e-03 -7.894769e-03)
0.000249587   	(9.699340e+01 1.016427e+00 -4.989585e-01)	(9.703004e+01 1.012465e+00 -4.911409e-01)	(-3.664294e-02 3.962694e-03 -7.817588e-03)
0.000311503   	(8.306468e+01 7.342424e-01 -5.047218e-01)	(8.310185e+01 7.303063e-01 -4.969903e-01)	(-3.717158e-02 3.936027e-03 -7.731444e-03)
0.000385801   	(7.321757e+01 5.877881e-01 -5.403628e-01)	(7.325521e+01 5.838792e-01 -5.327260e-01)	(-3.764818e-02 3.908930e-03 -7.636778e-03)
0.000474957   	(6.579675e+01 6.487943e-01 -4.041165e-01)	(6.583482e+01 6.449116e-01 -3.965858e-01)	(-3.807742e-02 3.882772e-03 -7.530683e-03)
0.000581938   	(5.995575e+01 6.956738e-01 -2.600437e-01)	(5.999422e+01 6.918131e-01 -2.526296e-01)	(-3.846546e-02 3.860750e-03 -7.414051e-03)
0.000710316   	(5.543696e+01 7.016369e-01 -2.322645e-01)	(5.547577e+01 6.977930e-01 -2.249782e-01)	(-3.881723e-02 3.843940e-03 -7.286360e-03)
0.00086436    	(5.188035e+01 7.596620e-01 -1.903552e-01)	(5.191949e+01 7.558300e-01 -1.832070e-01)	(-3.914093e-02 3.832064e-03 -7.148214e-03)
0.00104921    	(4.893742e+01 8.798390e-01 -1.041263e-01)	(4.897687e+01 8.760142e-01 -9.712532e-02)	(-3.944735e-02 3.824842e-03 -7.000957e-03)
0.00127106    	(4.627801e+01 8.741827e-01 -4.132388e-02)	(4.631776e+01 8.703574e-01 -3.447971e-02)	(-3.974550e-02 3.825306e-03 -6.844179e-03)
0.00153724    	(4.394709e+01 9.654273e-01 -2.579658e-02)	(4.398714e+01 9.615900e-01 -1.911621e-02)	(-4.004795e-02 3.837357e-03 -6.680375e-03)
0.00185665    	(4.165007e+01 1.062051e+00 -1.856990e-02)	(4.169045e+01 1.058187e+00 -1.205956e-02)	(-4.037781e-02 3.863298e-03 -6.510333e-03)
