# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.2e-05       	(-1.085772e+03 2.749402e+02 -1.348938e+02)	(-1.085708e+03 2.749401e+02 -1.348940e+02)	(-6.318267e-02 1.444631e-04 1.728085e-04)
2.64002e-05   	(-2.911887e+01 -1.213980e+01 -3.580300e+01)	(-2.905586e+01 -1.214001e+01 -3.580321e+01)	(-6.301030e-02 2.049713e-04 2.124456e-04)
4.36804e-05   	(-1.292288e+01 -3.062213e+00 6.295355e-01)	(-1.286010e+01 -3.062426e+00 6.293172e-01)	(-6.278221e-02 2.134943e-04 2.182839e-04)
6.44165e-05   	(-7.053596e+00 -2.375521e-01 -2.366220e-01)	(-6.991057e+00 -2.377679e-01 -2.368431e-01)	(-6.253882e-02 2.157651e-04 2.210661e-04)
8.92998e-05   	(-4.905580e+00 7.385877e-02 -2.690582e-01)	(-4.843319e+00 7.364097e-02 -2.692812e-01)	(-6.226106e-02 2.178038e-04 2.230463e-04)
0.000119159   	(-3.564252e+00 4.041593e-02 -2.746344e-01)	(-3.502310e+00 4.019716e-02 -2.748586e-01)	(-6.194252e-02 2.187721e-04 2.241649e-04)
0.000154991   	(-2.727760e+00 3.084039e-02 -3.081959e-01)	(-2.666184e+00 3.062105e-02 -3.084210e-01)	(-6.157574e-02 2.193451e-04 2.250648e-04)
0.00019799    	(-2.178216e+00 1.315146e-01 -3.041100e-01)	(-2.117062e+00 1.312948e-01 -3.043358e-01)	(-6.115378e-02 2.198322e-04 2.258479e-04)
0.000249587   	(-1.809722e+00 9.609601e-02 -2.967811e-01)	(-1.749052e+00 9.587535e-02 -2.970076e-01)	(-6.067003e-02 2.206599e-04 2.265383e-04)
0.000311503   	(-1.554050e+00 1.339857e-01 -3.209003e-01)	(-1.493932e+00 1.337640e-01 -3.211278e-01)	(-6.011814e-02 2.217352e-04 2.274296e-04)
0.000385801   	(-1.374469e+00 1.477765e-01 -3.266009e-01)	(-1.314976e+00 1.475530e-01 -3.268295e-01)	(-5.949241e-02 2.234719e-04 2.285947e-04)
0.000474957   	(-1.239608e+00 1.038443e-01 -2.979731e-01)	(-1.180820e+00 1.036192e-01 -2.982033e-01)	(-5.878837e-02 2.251641e-04 2.302412e-04)
0.000581938   	(-1.134449e+00 8.528901e-02 -2.536557e-01)	(-1.076445e+00 8.506189e-02 -2.538886e-01)	(-5.800365e-02 2.271195e-04 2.329492e-04)
0.000710316   	(-1.053972e+00 8.266416e-02 -2.325937e-01)	(-9.968345e-01 8.243449e-02 -2.328305e-01)	(-5.713755e-02 2.296765e-04 2.368110e-04)
0.00086436    	(-9.898708e-01 9.895159e-02 -1.961074e-01)	(-9.336786e-01 9.871911e-02 -1.963488e-01)	(-5.619221e-02 2.324815e-04 2.414264e-04)
0.00104921    	(-9.372859e-01 9.374400e-02 -1.517836e-01)	(-8.821131e-01 9.350820e-02 -1.520300e-01)	(-5.517285e-02 2.358065e-04 2.464223e-04)
0.00127106    	(-8.909564e-01 1.118747e-01 -1.279781e-01)	(-8.368683e-01 1.116355e-01 -1.282306e-01)	(-5.408811e-02 2.392062e-04 2.525367e-04)
0.00153724    	(-8.485517e-01 1.175250e-01 -7.962731e-02)	(-7.956024e-01 1.172826e-01 -7.988747e-02)	(-5.294930e-02 2.423801e-04 2.601530e-04)
0.00185665    	(-8.087316e-01 1.140478e-01 -3.982697e-02)	(-7.569622e-01 1.138023e-01 -4.009633e-02)	(-5.176939e-02 2.455467e-04 2.693638e-04)
0.00223996    	(-7.721917e-01 1.078037e-01 -2.369635e-02)	(-7.216298e-01 1.075572e-01 -2.397659e-02)	(-5.056186e-02 2.464628e-04 2.802364e-04)
0.002689      	(-7.421906e-01 1.149841e-01 1.302615e-02)	(-6.928249e-01 1.147386e-01 1.273441e-02)	(-4.936573e-02 2.454596e-04 2.917381e-04)
0.00320387    	(-7.123190e-01 1.089160e-01 4.365880e-02)	(-6.641096e-01 1.086751e-01 4.335540e-02)	(-4.820946e-02 2.409226e-04 3.034027e-04)
0.00378475    	(-6.841556e-01 9.725000e-02 6.434576e-02)	(-6.370468e-01 9.701719e-02 6.403129e-02)	(-4.710886e-02 2.328086e-04 3.144702e-04)
0.00443207    	(-6.582478e-01 1.042195e-01 8.665122e-02)	(-6.121771e-01 1.039982e-01 8.632616e-02)	(-4.607074e-02 2.213538e-04 3.250647e-04)
0.00509534    	(-6.385416e-01 1.109804e-01 1.219777e-01)	(-5.933823e-01 1.107723e-01 1.216438e-01)	(-4.515926e-02 2.080800e-04 3.338695e-04)
0.00575905    	(-6.211448e-01 9.049033e-02 1.251085e-01)	(-5.767793e-01 9.029582e-02 1.247674e-01)	(-4.436544e-02 1.945096e-04 3.410900e-04)
0.0064232     	(-6.052966e-01 7.522340e-02 1.371771e-01)	(-5.616318e-01 7.504332e-02 1.368297e-01)	(-4.366482e-02 1.800856e-04 3.473860e-04)
0.0070878     	(-5.910891e-01 6.831336e-02 1.298250e-01)	(-5.480493e-01 6.814809e-02 1.294724e-01)	(-4.303978e-02 1.652705e-04 3.525900e-04)
0.00775329    	(-5.786658e-01 5.877839e-02 1.603166e-01)	(-5.361891e-01 5.862793e-02 1.599601e-01)	(-4.247668e-02 1.504652e-04 3.565280e-04)
0.00841968    	(-5.686222e-01 6.255621e-02 1.540290e-01)	(-5.266567e-01 6.241972e-02 1.536696e-01)	(-4.196552e-02 1.364888e-04 3.594277e-04)
0.00908696    	(-5.600120e-01 7.762257e-02 1.460225e-01)	(-5.185137e-01 7.749897e-02 1.456615e-01)	(-4.149827e-02 1.236050e-04 3.610500e-04)
0.00975604    	(-5.540422e-01 5.310797e-02 1.904937e-01)	(-5.129746e-01 5.299626e-02 1.901316e-01)	(-4.106765e-02 1.117132e-04 3.620527e-04)
0.0104265     	(-5.486292e-01 5.226172e-02 1.810396e-01)	(-5.079603e-01 5.216064e-02 1.806773e-01)	(-4.066888e-02 1.010835e-04 3.622849e-04)
0.0110988     	(-5.443300e-01 2.475877e-02 1.833065e-01)	(-5.040327e-01 2.466665e-02 1.829445e-01)	(-4.029729e-02 9.211360e-05 3.620035e-04)
0.0117728     	(-5.410638e-01 1.893951e-02 1.789432e-01)	(-5.011145e-01 1.885479e-02 1.785822e-01)	(-3.994929e-02 8.471223e-05 3.609502e-04)
0.0124488     	(-5.394710e-01 3.415142e-02 1.815337e-01)	(-4.998492e-01 3.407275e-02 1.811745e-01)	(-3.962174e-02 7.866648e-05 3.592724e-04)
0.0131266     	(-5.380688e-01 9.662687e-03 1.631950e-01)	(-4.987568e-01 9.589262e-03 1.628376e-01)	(-3.931198e-02 7.342510e-05 3.573866e-04)
0.0138063     	(-5.365097e-01 1.870505e-03 1.884724e-01)	(-4.974917e-01 1.801705e-03 1.881168e-01)	(-3.901797e-02 6.879966e-05 3.555422e-04)
0.0144878     	(-5.355672e-01 -8.021986e-03 1.775821e-01)	(-4.968293e-01 -8.086653e-03 1.772286e-01)	(-3.873797e-02 6.466690e-05 3.534984e-04)
0.0151708     	(-5.355251e-01 3.870060e-03 1.923624e-01)	(-4.970543e-01 3.809174e-03 1.920107e-01)	(-3.847075e-02 6.088577e-05 3.517675e-04)
0.0158556     	(-5.351353e-01 -1.098138e-02 1.866332e-01)	(-4.969204e-01 -1.103889e-02 1.862835e-01)	(-3.821488e-02 5.750916e-05 3.496967e-04)
0.0165414     	(-5.349233e-01 -3.285992e-02 1.877440e-01)	(-4.969535e-01 -3.291404e-02 1.873963e-01)	(-3.796974e-02 5.412111e-05 3.476300e-04)
0.0172287     	(-5.345213e-01 -3.644008e-02 1.870590e-01)	(-4.967871e-01 -3.649085e-02 1.867135e-01)	(-3.773427e-02 5.076996e-05 3.454950e-04)
0.0179169     	(-5.344863e-01 -3.951968e-02 1.771815e-01)	(-4.969784e-01 -3.956735e-02 1.768383e-01)	(-3.750792e-02 4.766866e-05 3.431819e-04)
0.0186061     	(-5.341156e-01 -3.309659e-02 1.687577e-01)	(-4.968255e-01 -3.314125e-02 1.684173e-01)	(-3.729009e-02 4.465868e-05 3.404019e-04)
0.0192957     	(-5.340838e-01 -4.177434e-02 1.815261e-01)	(-4.970035e-01 -4.181596e-02 1.811884e-01)	(-3.708032e-02 4.162128e-05 3.376649e-04)
0.0199859     	(-5.339351e-01 -4.439910e-02 1.969213e-01)	(-4.970570e-01 -4.443784e-02 1.965864e-01)	(-3.687805e-02 3.874135e-05 3.348540e-04)
0.0206765     	(-5.343421e-01 -6.232720e-02 1.776899e-01)	(-4.976592e-01 -6.236308e-02 1.773584e-01)	(-3.668290e-02 3.588727e-05 3.314987e-04)
